distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
0,0,0,"6.802065527065544","0.11680911680913339"
"0.01",0,0,"8.38450142450144","0.9988603988604156"
"0.02",0,0,"21.256735856735872","7.175783475783493"
"0.03",0,0,"27.25719373219375","6.2589336589336755"
"0.04",0,0,"30.413603988604006","6.1424501424501585"
"0.05",0,0,"31.88219373219375","8.785014245014262"
"0.06",0,0,"32.63168091168093","10.785612535612552"
"0.07",0,0,"33.31424501424503","11.924501424501443"
"0.08",0,0,"33.187578347578366","12.565099715099734"
"0.09",0,0,"34.67834757834759","13.02321937321939"
"0.1",0,0,"37.36766381766383","13.89544159544161"
"0.11",0,0,"35.95527065527067","14.61321937321939"
"0.12",0,0,"36.50484330484332","14.339886039886057"
"0.13",0,0,"35.90719373219375","14.908262108262123"
"0.14",0,0,"36.05313390313392","14.39330484330486"
"0.15",0,0,"35.70245014245016","14.469373219373233"
"0.16",0,0,"35.3634757834758","14.739458689458706"
"0.17",0,0,"34.223219373219386","14.28193732193734"
"0.18",0,0,"34.514245014245034","14.103133903133921"
"0.19",0,0,"33.78507834757837","14.160765160765179"
"0.2",0,0,"32.843091168091185","14.891168091168106"
"0.21",0,0,"32.27578347578349","14.756296296296313"
"0.22",0,0,"31.94296296296298","15.150997150997169"
"0.23",0,0,"32.411680911680925","15.518640618640633"
"0.24",0,0,"31.561680911680934","14.622962962962982"
"0.25",0,0,"32.945014245014264","14.023860398860414"
"0.26",0,0,"33.80954415954418","13.808603988604006"
"0.27",0,0,"35.11527065527067","13.988603988604009"
"0.28",0,0,"36.31424501424503","16.025966625966642"
"0.29",0,0,"38.03014245014246","16.888603988604007"
"0.3",0,0,"37.98933658933661","16.95142450142452"
"0.31",0,0,"38.70296296296298","18.487749287749303"
"0.32",0,0,"37.843091168091185","18.570142450142466"
"0.33",0,0,"37.13133903133905","17.955698005698025"
"0.34",0,0,"36.700142450142465","17.69629629629631"
"0.35",0,0,"37.05014245014247","18.715343915343933"
"0.36",0,0,"37.569800569800584","19.82535612535614"
"0.37",0,0,"38.03219373219375","21.07995014245016"
"0.38",0,0,"38.11578347578349","22.29245014245016"
"0.39",0,0,"38.39629629629631","23.598347578347596"
"0.4",0,0,"38.48245014245016","25.093219373219387"
"0.41",0,0,"39.11168091168093","27.603347578347595"
"0.42",0,0,"40.11021571021572","29.769190069190085"
"0.43",0,0,"40.70975783475785","31.414245014245033"
"0.44",0,0,"41.11014245014247","32.25424501424503"
"0.45",0,0,"41.32669922669924","33.80356125356128"
"0.46",0,0,"41.70975783475785","34.48411680911683"
"0.47",0,0,"41.79527065527067","36.73329263329265"
"0.48",0,0,"41.862962962962975","38.41616809116811"
"0.49",0,0,"42.026424501424515","39.960398860398875"
"0.5",0,0,"42.345868945868965","40.687321937321954"
"0.51",0,0,"42.40227920227921","40.7843304843305"
"0.52",0,0,"42.55270655270657","40.59988603988606"
"0.53",0,0,"42.654245014245035","40.78245014245016"
"0.54",0,0,"42.49014245014247","40.680398860398874"
"0.55",0,0,"42.75954415954417","40.94809116809118"
"0.56",0,0,"42.5334757834758","41.228347578347595"
"0.57",0,0,"42.903988603988616","41.498860398860415"
"0.58",0,0,"42.65065527065529","41.626039886039905"
"0.59",0,0,"42.796937321937335","41.87578347578349"
"0.6",0,0,"42.845868945868965","41.659116809116824"
"0.61",0,0,"43.05270655270656","41.49052706552708"
"0.62",0,0,"43.12303622303624","41.44159544159546"
"0.63",0,0,"43.365527065527075","41.54629629629631"
"0.64",0,0,"43.220105820105836","40.593219373219384"
"0.65",0,0,"43.317663817663835","40.61253561253563"
"0.66",0,0,"43.555270655270675","40.5334757834758"
"0.67",0,0,"43.51900691900693","40.45527065527067"
"0.68",0,0,"43.781937321937335","40.88732193732196"
"0.69",0,0,"43.60296296296298","41.91219373219375"
"0.7",0,0,"43.7783475783476","42.047578347578366"
"0.71",0,0,"44.078860398860414","41.676882376882396"
"0.72",0,0,"43.48155270655272","40.523860398860414"
"0.73",0,0,"44.141168091168105","39.95612535612537"
"0.74",0,0,"43.73924501424503","39.682450142450165"
"0.75",0,0,"44.14091168091169","38.914886039886056"
"0.76",0,0,"44.13219373219375","38.23424501424503"
"0.77",0,0,"44.0809116809117","37.26655270655273"
"0.78",0,0,"44.1343304843305","36.57386039886042"
"0.79",0,0,"44.22001424501426","37.02834757834759"
"0.8",0,0,"44.169629629629654","35.780398860398876"
"0.81",0,0,"44.20501424501426","35.432834757834776"
"0.82",0,0,"44.55398860398862","36.60398860398862"
"0.83",0,0,"44.325356125356144","35.256552706552725"
"0.84",0,0,"44.36168091168093","35.378347578347594"
"0.85",0,0,"44.48005698005699","33.960398860398875"
"0.86",0,0,"44.61424501424502","32.984330484330506"
"0.87",0,0,"44.613219373219394","33.14330484330486"
"0.88",0,0,"44.9583475783476","32.91339031339033"
"0.89",0,0,"44.98219373219375","33.07578347578349"
"0.9",0,0,"44.91790801790803","32.04706552706555"
"0.91",0,0,"45.966039886039894","31.837749287749304"
"0.92",0,0,"45.29988603988606","31.758475783475802"
"0.93",0,0,"45.33924501424503","31.309629629629647"
"0.94",0,0,"45.32065527065529","30.806552706552722"
"0.95",0,0,"45.83373219373221","30.54501424501426"
"0.96",0,0,"45.29309116809118","30.338176638176652"
"0.97",0,0,"45.79270655270657","30.11219373219375"
"0.98",0,0,"45.85834757834759","29.908262108262125"
"0.99",0,0,"45.77680911680913","29.655911680911696"
1,0,0,"45.83005698005699","29.228988603988622"
"1.01",0,0,"45.67578347578349","27.798860398860416"
"1.02",0,0,"45.574757834757854","28.056980056980077"
"1.03",0,0,"45.78501424501427","27.44544159544161"
"1.04",0,0,"45.898860398860414","27.315954415954433"
"1.05",0,0,"45.78347578347581","26.16638176638178"
"1.06",0,0,"45.96552706552708","26.34159544159546"
"1.07",0,0,"46.299715099715115","25.66296296296298"
"1.08",0,0,"45.817834757834774","26.080911680911697"
"1.09",0,0,"46.102157102157115","25.16655270655272"
"1.1",0,0,"46.44180911680913","25.30527065527067"
"1.11",0,0,"46.62706552706553","24.602706552706568"
"1.12",0,0,"46.29168091168093","24.966809116809134"
"1.13",0,0,"46.61014245014247","24.196723646723665"
"1.14",0,0,"46.78219373219375","23.577492877492897"
"1.15",0,0,"46.64886039886042","23.98561253561255"
"1.16",0,0,"46.92142450142452","23.23475783475785"
"1.17",0,0,"46.63116809116811","23.455698005698025"
"1.18",0,0,"47.10142450142452","23.280056980056997"
"1.19",0,0,"46.97219373219375","23.08962962962965"
"1.2",0,0,"47.53539886039888","23.107834757834777"
"1.21",0,0,"47.2757834757835","22.903988603988623"
"1.22",0,0,"47.208689458689484","22.728603988604004"
"1.23",0,0,"47.313603988604","22.109116809116824"
"1.24",0,0,"47.7434757834758","22.261680911680926"
"1.25",0,0,"47.446479446479465","22.506919006919023"
"1.26",0,0,"47.53283475783478","22.344159544159563"
"1.27",0,0,"47.86039886039888","22.419373219373238"
"1.28",0,0,"47.690655270655284","22.335612535612555"
"1.29",0,0,"47.67651607651609","22.51467236467238"
"1.3",0,0,"47.582193732193744","22.31424501424503"
"1.31",0,0,"47.935612535612556","21.73219373219375"
"1.32",0,0,"47.695563695563706","21.863603988604005"
"1.33",0,0,"47.5860398860399","21.891809116809135"
"1.34",0,0,"47.42809116809118","21.42578347578349"
"1.35",0,0,"47.89629629629631","22.118860398860413"
"1.36",0,0,"47.776638176638194","21.827065527065542"
"1.37",0,0,"47.72706552706555","22.048603988604007"
"1.38",0,0,"48.21424501424503","22.009971509971525"
"1.39",0,0,"47.8903133903134","22.1343304843305"
"1.4",0,0,"48.16360398860401","21.647578347578364"
"1.41",0,0,"47.90655270655272","21.682834757834776"
"1.42",0,0,"48.298127798127815","21.458689458689477"
"1.43",0,0,"48.569800569800584","21.66552706552708"
"1.44",0,0,"48.416809116809134","21.645527065527084"
"1.45",0,0,"48.42386039886042","21.60270655270657"
"1.46",0,0,"48.68945868945871","21.35719373219375"
"1.47",0,0,"48.76398860398862","21.315783475783494"
"1.48",0,0,"48.64039886039888","21.59245014245016"
"1.49",0,0,"48.83988603988606","21.687578347578363"
"1.5",0,0,"48.993304843304855","21.10462962962965"
"1.51",0,0,"48.934757834757846","20.99458689458691"
"1.52",0,0,"49.80569800569802","21.25014245014247"
"1.53",0,0,"48.89693732193733","21.362962962962982"
"1.54",0,0,"48.916809116809134","21.04415954415956"
"1.55",0,0,"49.06757834757836","20.694373219373233"
"1.56",0,0,"49.288603988603995","20.837749287749304"
"1.57",0,0,"49.32663817663819","20.269116809116827"
"1.58",0,0,"49.45911680911683","20.85975783475785"
"1.59",0,0,"49.059544159544174","20.855270655270672"
"1.6",0,0,"49.10757834757836","19.88796296296298"
"1.61",0,0,"49.27212047212049","20.61321937321939"
"1.62",0,0,"49.85698005698007","20.3826210826211"
"1.63",0,0,"49.448677248677264","20.111680911680928"
"1.64",0,0,"49.66467236467238","20.635719373219388"
"1.65",0,0,"50.05078347578349","21.002065527065543"
"1.66",0,0,"51.15937321937324","20.820227920227936"
"1.67",0,0,"52.096296296296316","21.049287749287767"
"1.68",0,0,"53.67102157102158","20.58296296296298"
"1.69",0,0,"55.30783475783477","20.980056980056997"
"1.7",0,0,"55.45462962962965","20.890313390313406"
"1.71",0,0,"56.608091168091185","20.62535612535614"
"1.72",0,0,"57.87749287749289","21.4334757834758"
"1.73",0,0,"59.575142450142465","20.785185185185203"
"1.74",0,1,"61.63732193732195","21.615954415954434"
"1.75",0,1,"63.690313390313406","23.655270655270673"
"1.76",0,1,"65.22347578347579","24.03475783475785"
"1.77",0,1,"65.91065527065528","25.39373219373221"
"1.78",0,1,"65.85655270655272","27.46168091168093"
"1.79",0,1,"66.06809116809119","28.182962962962982"
"1.8",0,1,"66.9414245014245","29.535185185185203"
"1.81",0,1,"67.7877492877493","30.860398860398877"
"1.82",0,1,"68.50757834757836","31.776638176638198"
"1.83",0,1,"68.37680911680914","33.05398860398862"
"1.84",0,1,"68.82257834757837","34.04860398860401"
"1.85",0,1,"68.72450142450144","35.152065527065545"
"1.86",0,1,"69.45398860398862","36.730484330484344"
"1.87",0,1,"68.29373219373221","37.16450142450144"
"1.88",0,1,"68.12514245014246","38.71790801790803"
"1.89",0,1,"67.96232193732196","40.4161680911681"
"1.9",0,1,"67.78668091168092","41.02230362230364"
"1.91",0,1,"67.0111680911681","42.35424501424503"
"1.92",0,1,"67.01552706552708","43.81790801790804"
"1.93",0,1,"65.91937321937323","45.25954415954417"
"1.94",0,1,"65.96911680911683","45.994159544159565"
"1.95",0,1,"66.16467236467237","47.12962962962965"
"1.96",0,1,"65.37578347578349","47.410142450142466"
"1.97",0,1,"65.02407407407408","47.89757834757836"
