distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
0,0,0,"28.941538461538464","16.942564102564102"
"0.01",0,0,"40.978974358974355","22.232051282051284"
"0.02",0,0,"49.026923076923076","40.81743589743589"
"0.03",0,0,"51.050769230769234","41.492820512820515"
"0.04",0,0,"51.08205128205128","41.70897435897436"
"0.05",0,0,"51.12410256410256","41.9176282051282"
"0.06",0,0,"51.338461538461544","42.35384615384615"
"0.07",0,0,"52.08461538461538","42.44461538461539"
"0.08",0,0,"52.256410256410255","42.37582417582418"
"0.09",0,0,"51.97991452991453","42.420512820512826"
"0.1",0,0,"51.79358974358974","43.855555555555554"
"0.11",0,0,"52.15341880341881","42.360897435897435"
"0.12",0,0,"52.12051282051282","42.521794871794874"
"0.13",0,0,"52.24717948717948",43
"0.14",0,0,"52.016666666666666","43.00598290598291"
"0.15",0,0,"52.439743589743586","43.142307692307696"
"0.16",0,0,"52.64529914529914","43.231623931623936"
"0.17",0,0,"51.707692307692305","42.64820512820513"
"0.18",0,0,"52.17649572649572","43.371794871794876"
"0.19",0,0,"52.532051282051285","43.589976689976695"
"0.2",0,0,"52.92051282051282","43.260897435897434"
"0.21",0,0,"52.58278388278388","43.284615384615385"
"0.22",0,0,"53.03333333333334","44.22666666666667"
"0.23",0,0,"53.071794871794864","43.243589743589745"
"0.24",0,0,"53.212820512820514","44.40448717948718"
"0.25",0,0,"53.63186813186813","45.047578347578344"
"0.26",0,0,"53.59589743589744","44.92393162393162"
"0.27",0,0,"53.98803418803419","44.95128205128205"
"0.28",0,0,"54.01452991452991","45.08589743589744"
"0.29",0,0,"53.896153846153844","44.987545787545784"
"0.3",0,0,"54.32211538461539","45.23205128205128"
"0.31",0,0,"54.281410256410254","45.57649572649573"
"0.32",0,0,"54.107692307692304","45.79010989010989"
"0.33",0,0,"54.39282051282051","44.97051282051282"
"0.34",0,0,"54.458119658119664","45.77521367521367"
"0.35",0,0,"54.58119658119657","45.632371794871794"
"0.36",0,0,"54.97846153846153","45.430769230769236"
"0.37",0,0,"54.97076923076922","46.29145299145299"
"0.38",0,0,"54.357948717948716","46.88461538461539"
"0.39",0,0,"55.01346153846154","46.80769230769231"
"0.4",0,0,"55.223076923076924","47.2748717948718"
"0.41",0,0,"55.21435897435897","47.00256410256411"
"0.42",0,0,"55.6594017094017","47.25934065934066"
"0.43",0,0,"55.596410256410266","47.51589743589743"
"0.44",0,0,"56.034615384615385","47.56282051282051"
"0.45",0,0,"56.271428571428565","47.53504273504273"
"0.46",0,0,"56.36776556776557","47.615064102564105"
"0.47",0,0,"56.215384615384615","47.853846153846156"
"0.48",0,0,"56.292307692307695","47.739999999999995"
"0.49",0,0,"56.67728937728938","48.33461538461538"
