distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
0,0,0,"7.872150997151001","13.994586894586899"
"0.01",0,0,"29.20292022792023","16.797150997151"
"0.02",0,0,"33.31424501424502","23.898860398860403"
"0.03",0,0,"34.37065527065528","24.379202279202282"
"0.04",0,0,"34.06189458689459","24.164387464387467"
"0.05",0,0,"34.148005698005704","24.33689458689459"
"0.06",0,0,"33.4247150997151","23.93646723646724"
"0.07",0,0,"33.68616198616199","24.10740740740741"
"0.08",0,0,"33.732535612535614","24.110826210826215"
"0.09",0,0,"34.07663817663818","24.699715099715103"
"0.1",0,0,"33.7945868945869","24.323646723646732"
"0.11",0,0,"33.92462352462353","24.24433048433049"
"0.12",0,0,"34.148433048433056","24.72586894586895"
"0.13",0,0,"33.956980056980065","24.72407407407408"
"0.14",0,0,"34.25270655270656","24.68433048433049"
"0.15",0,0,"33.92599715099716","25.834330484330486"
"0.16",0,0,"34.21407407407408","25.038817663817667"
"0.17",0,0,"34.35484330484331","25.3986161986162"
"0.18",0,0,"34.866381766381764","25.190313390313392"
"0.19",0,0,"34.97663817663818","25.35612535612536"
"0.2",0,0,"34.32471509971511","25.20447700447701"
"0.21",0,0,"34.50313390313391","25.270997150997154"
"0.22",0,0,"34.711253561253564","25.31436711436712"
"0.23",0,0,"34.739458689458694","25.833048433048436"
"0.24",0,0,"34.60035612535613","25.86125356125357"
"0.25",0,0,"34.73048433048434","25.79330484330485"
"0.26",0,0,"35.03509971509972","26.192592592592593"
"0.27",0,0,"35.45766381766382","26.440740740740743"
"0.28",0,0,"35.163817663817674","26.902279202279203"
"0.29",0,0,"35.2945868945869","26.5445868945869"
"0.3",0,0,"35.070484330484334","26.334879934879943"
"0.31",0,0,"35.390099715099716","27.487749287749292"
"0.32",0,0,"35.43817663817664","26.551509971509972"
"0.33",0,0,"35.27022792022793","26.37792022792023"
"0.34",0,0,"36.0397150997151","26.80586894586895"
"0.35",0,0,"35.6894586894587","27.043671143671144"
"0.36",0,0,"35.592022792022796","27.268304843304847"
"0.37",0,0,"35.62462352462353","27.73150997150998"
"0.38",0,0,"35.318945868945875","26.972150997151"
"0.39",0,0,"35.80330484330484","27.188497150997154"
"0.4",0,0,"35.7920227920228","26.986894586894593"
"0.41",0,0,"35.97817663817664","27.05905575905576"
"0.42",0,0,"35.61048433048434","27.263817663817665"
"0.43",0,0,"35.399202279202285","27.352279202279206"
"0.44",0,0,"35.52663817663819","27.730911680911685"
"0.45",0,0,"35.642450142450144","27.809971509971515"
"0.46",0,0,"36.16125356125357","28.03176638176639"
"0.47",0,0,"35.85612535612536","28.33646723646724"
"0.48",0,0,"36.0497150997151","28.277370777370784"
"0.49",0,0,"36.293304843304846","28.243304843304845"
"0.5",0,0,"36.18817663817664","28.4120227920228"
"0.51",0,0,"36.58227920227921","28.342279202279208"
"0.52",0,0,"36.65185185185186","28.81766381766382"
"0.53",0,0,"36.997150997151","28.95441595441596"
"0.54",0,0,"36.70548433048434","28.926210826210834"
"0.55",0,0,"36.65441595441596","28.872150997151003"
"0.56",0,0,"36.910997150997154","29.030997150997155"
"0.57",0,0,"37.12407407407408","29.288726088726094"
"0.58",0,0,"36.984971509971516","29.495612535612544"
"0.59",0,0,"36.95766381766382","29.725356125356125"
"0.6",0,0,"36.95655270655271","29.792663817663822"
"0.61",0,0,"36.7945868945869","29.572022792022796"
"0.62",0,0,"37.16945868945869","29.793561253561258"
"0.63",0,0,"37.034586894586894","30.033048433048442"
"0.64",0,0,"37.08359788359788","30.157150997151"
"0.65",0,0,"37.467022792022796","30.304202279202283"
"0.66",0,0,"37.46766381766382","30.297883597883605"
"0.67",0,0,"37.156552706552716","30.044330484330487"
"0.68",0,0,"37.499715099715104","30.210704110704114"
"0.69",0,0,"37.60484330484331","29.98689458689459"
"0.7",0,0,"37.60945868945869","30.58347578347579"
"0.71",0,0,"37.884971509971514","30.34330484330485"
"0.72",0,0,"37.942938542938556","30.40227920227921"
"0.73",0,0,"38.01561253561254","30.775612535612545"
"0.74",0,0,"37.95441595441596","30.91851851851852"
"0.75",0,0,"37.94170227920229","30.774501424501427"
